RunDate,RoomTypeCode,RatePlanCode,StartDate,EndDate,AgeBucketCode,Field,Old,New,Delta,DeltaPct
2025-12-25,PRE,BAR00,2025-12-25,2025-12-26,,Flat,,31500,,
2025-12-25,A1KB,BAR00,2025-12-25,2025-12-26,,Flat,,1380,,
2025-12-25,KCST,BAR00,2025-12-25,2025-12-26,,Flat,,1275,,
2025-12-25,KGST,BAR00,2025-12-25,2025-12-26,,Flat,,1200,,
2025-12-25,TWDX,BAR00,2025-12-25,2025-12-26,,Flat,,1095,,
2025-12-25,KCDX,BAR00,2025-12-25,2025-12-26,,Flat,,1050,,
2025-12-25,TCDX,BAR00,2025-12-25,2025-12-26,,Flat,,1020,,
2025-12-25,KGDX,BAR00,2025-12-25,2025-12-26,,Flat,,990,,
2025-12-25,KINGR,BAR00,2025-12-25,2025-12-26,,Flat,,945,,
2025-12-25,TWDD,BAR00,2025-12-25,2025-12-26,,Flat,,870,,
2025-12-25,TWSP,BAR00,2025-12-25,2025-12-26,,Flat,,840,,
2025-12-25,A2KB,BAR00,2025-12-25,2025-12-26,,Flat,,1836,,
2025-12-25,A1KB,BAREX,2025-12-25,2025-12-26,,Flat,,1725,,
2025-12-25,KCST,BAREX,2025-12-25,2025-12-26,,Flat,,1594,,
2025-12-25,KGST,BAREX,2025-12-25,2025-12-26,,Flat,,1500,,
2025-12-25,TWDX,BAREX,2025-12-25,2025-12-26,,Flat,,1369,,
2025-12-25,KCDX,BAREX,2025-12-25,2025-12-26,,Flat,,1313,,
2025-12-25,TCDX,BAREX,2025-12-25,2025-12-26,,Flat,,1275,,
2025-12-25,KGDX,BAREX,2025-12-25,2025-12-26,,Flat,,1238,,
2025-12-25,KINGR,BAREX,2025-12-25,2025-12-26,,Flat,,1181,,
2025-12-25,TWDD,BAREX,2025-12-25,2025-12-26,,Flat,,1088,,
2025-12-25,TWSP,BAREX,2025-12-25,2025-12-26,,Flat,,1050,,
2025-12-25,PRE,BAREX,2025-12-25,2025-12-26,,Flat,,39375,,
2025-12-25,A2KB,BAREX,2025-12-25,2025-12-26,,Flat,,2295,,
2025-12-25,A1KB,RACK,2025-12-25,2025-12-26,,Flat,,1863,,
2025-12-25,KCST,RACK,2025-12-25,2025-12-26,,Flat,,1721,,
2025-12-25,KGST,RACK,2025-12-25,2025-12-26,,Flat,,1620,,
2025-12-25,TWDX,RACK,2025-12-25,2025-12-26,,Flat,,1478,,
2025-12-25,KCDX,RACK,2025-12-25,2025-12-26,,Flat,,1418,,
2025-12-25,TCDX,RACK,2025-12-25,2025-12-26,,Flat,,1377,,
2025-12-25,KGDX,RACK,2025-12-25,2025-12-26,,Flat,,1337,,
2025-12-25,KINGR,RACK,2025-12-25,2025-12-26,,Flat,,1276,,
2025-12-25,TWDD,RACK,2025-12-25,2025-12-26,,Flat,,1175,,
2025-12-25,TWSP,RACK,2025-12-25,2025-12-26,,Flat,,1134,,
2025-12-25,PRE,RACK,2025-12-25,2025-12-26,,Flat,,42525,,
2025-12-25,A2KB,RACK,2025-12-25,2025-12-26,,Flat,,2479,,
2025-12-25,A1KB,CORL25,2025-12-25,2025-12-26,,Flat,,1035,,
2025-12-25,KCST,CORL25,2025-12-25,2025-12-26,,Flat,,956,,
2025-12-25,KGST,CORL25,2025-12-25,2025-12-26,,Flat,,900,,
2025-12-25,TWDX,CORL25,2025-12-25,2025-12-26,,Flat,,821,,
2025-12-25,KCDX,CORL25,2025-12-25,2025-12-26,,Flat,,788,,
2025-12-25,TCDX,CORL25,2025-12-25,2025-12-26,,Flat,,765,,
2025-12-25,KGDX,CORL25,2025-12-25,2025-12-26,,Flat,,743,,
2025-12-25,KINGR,CORL25,2025-12-25,2025-12-26,,Flat,,709,,
2025-12-25,TWDD,CORL25,2025-12-25,2025-12-26,,Flat,,653,,
2025-12-25,TWSP,CORL25,2025-12-25,2025-12-26,,Flat,,630,,
2025-12-25,PRE,CORL25,2025-12-25,2025-12-26,,Flat,,23625,,
2025-12-25,A2KB,CORL25,2025-12-25,2025-12-26,,Flat,,1377,,
2025-12-25,A1KB,WAL,2025-12-25,2025-12-26,,Flat,,1173,,
2025-12-25,KCST,WAL,2025-12-25,2025-12-26,,Flat,,1084,,
2025-12-25,KGST,WAL,2025-12-25,2025-12-26,,Flat,,1020,,
2025-12-25,TWDX,WAL,2025-12-25,2025-12-26,,Flat,,931,,
2025-12-25,KCDX,WAL,2025-12-25,2025-12-26,,Flat,,893,,
2025-12-25,TCDX,WAL,2025-12-25,2025-12-26,,Flat,,867,,
2025-12-25,KGDX,WAL,2025-12-25,2025-12-26,,Flat,,842,,
2025-12-25,KINGR,WAL,2025-12-25,2025-12-26,,Flat,,803,,
2025-12-25,TWDD,WAL,2025-12-25,2025-12-26,,Flat,,740,,
2025-12-25,TWSP,WAL,2025-12-25,2025-12-26,,Flat,,714,,
2025-12-25,PRE,WAL,2025-12-25,2025-12-26,,Flat,,26775,,
2025-12-25,A2KB,WAL,2025-12-25,2025-12-26,,Flat,,1561,,
2025-12-25,A1KB,BARAPT,2025-12-25,2025-12-26,,Flat,,1932,,
2025-12-25,A2KB,BARAPT,2025-12-25,2025-12-26,,Flat,,2570,,
2025-12-25,KCST,BARSUIT,2025-12-25,2025-12-26,,Flat,,1594,,
2025-12-25,KGST,BARSUIT,2025-12-25,2025-12-26,,Flat,,1500,,
2025-12-25,PRE,BARSUIT,2025-12-25,2025-12-26,,Flat,,39375,,
2025-12-25,A1KB,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,1032,,
2025-12-25,A1KB,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,1104,,
2025-12-25,A1KB,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,228,,
2025-12-25,A1KB,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,A1KB,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,A1KB,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,KCST,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,948,,
2025-12-25,KCST,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,1020,,
2025-12-25,KCST,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,216,,
2025-12-25,KCST,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,KCST,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,KCST,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,KGST,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,888,,
2025-12-25,KGST,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,960,,
2025-12-25,KGST,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,204,,
2025-12-25,KGST,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,KGST,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,KGST,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,TWDX,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,804,,
2025-12-25,TWDX,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,876,,
2025-12-25,TWDX,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,192,,
2025-12-25,TWDX,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,TWDX,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,TWDX,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,KCDX,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,768,,
2025-12-25,KCDX,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,840,,
2025-12-25,KCDX,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,180,,
2025-12-25,KCDX,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,KCDX,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,KCDX,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,TCDX,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,744,,
2025-12-25,TCDX,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,816,,
2025-12-25,TCDX,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,180,,
2025-12-25,TCDX,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,TCDX,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,TCDX,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,KGDX,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,720,,
2025-12-25,KGDX,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,792,,
2025-12-25,KGDX,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,168,,
2025-12-25,KGDX,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,KGDX,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,KGDX,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,KINGR,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,684,,
2025-12-25,KINGR,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,756,,
2025-12-25,KINGR,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,168,,
2025-12-25,KINGR,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,KINGR,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,KINGR,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,TWDD,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,624,,
2025-12-25,TWDD,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,696,,
2025-12-25,TWDD,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,156,,
2025-12-25,TWDD,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,TWDD,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,TWDD,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,TWSP,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,600,,
2025-12-25,TWSP,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,672,,
2025-12-25,TWSP,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,156,,
2025-12-25,TWSP,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,84,,
2025-12-25,TWSP,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,144,,
2025-12-25,TWSP,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,60,,
2025-12-25,A2KB,OPQ,2025-12-25,2025-12-26,A1,OneGuest,,1368,,
2025-12-25,A2KB,OPQ,2025-12-25,2025-12-26,A1,TwoGuests,,1469,,
2025-12-25,A2KB,OPQ,2025-12-25,2025-12-26,A1,ExtraGuest,,288,,
2025-12-25,A2KB,OPQ,2025-12-25,2025-12-26,C1,OneGuest,,98,,
2025-12-25,A2KB,OPQ,2025-12-25,2025-12-26,C1,TwoGuests,,166,,
2025-12-25,A2KB,OPQ,2025-12-25,2025-12-26,C1,ExtraGuest,,70,,
2025-12-25,A1KB,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,645,,
2025-12-25,A1KB,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,690,,
2025-12-25,A1KB,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,143,,
2025-12-25,A1KB,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,A1KB,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,A1KB,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,KCST,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,593,,
2025-12-25,KCST,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,638,,
2025-12-25,KCST,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,135,,
2025-12-25,KCST,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,KCST,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,KCST,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,KGST,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,555,,
2025-12-25,KGST,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,600,,
2025-12-25,KGST,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,128,,
2025-12-25,KGST,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,KGST,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,KGST,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,TWDX,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,503,,
2025-12-25,TWDX,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,548,,
2025-12-25,TWDX,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,120,,
2025-12-25,TWDX,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,TWDX,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,TWDX,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,KCDX,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,480,,
2025-12-25,KCDX,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,525,,
2025-12-25,KCDX,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,113,,
2025-12-25,KCDX,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,KCDX,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,KCDX,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,TCDX,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,465,,
2025-12-25,TCDX,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,510,,
2025-12-25,TCDX,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,113,,
2025-12-25,TCDX,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,TCDX,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,TCDX,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,KGDX,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,450,,
2025-12-25,KGDX,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,495,,
2025-12-25,KGDX,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,105,,
2025-12-25,KGDX,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,KGDX,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,KGDX,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,KINGR,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,428,,
2025-12-25,KINGR,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,473,,
2025-12-25,KINGR,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,105,,
2025-12-25,KINGR,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,KINGR,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,KINGR,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,TWDD,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,390,,
2025-12-25,TWDD,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,435,,
2025-12-25,TWDD,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,98,,
2025-12-25,TWDD,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,TWDD,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,TWDD,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,TWSP,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,375,,
2025-12-25,TWSP,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,420,,
2025-12-25,TWSP,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,98,,
2025-12-25,TWSP,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,53,,
2025-12-25,TWSP,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,90,,
2025-12-25,TWSP,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,38,,
2025-12-25,A2KB,STAFF,2025-12-25,2025-12-26,A1,OneGuest,,855,,
2025-12-25,A2KB,STAFF,2025-12-25,2025-12-26,A1,TwoGuests,,918,,
2025-12-25,A2KB,STAFF,2025-12-25,2025-12-26,A1,ExtraGuest,,180,,
2025-12-25,A2KB,STAFF,2025-12-25,2025-12-26,C1,OneGuest,,61,,
2025-12-25,A2KB,STAFF,2025-12-25,2025-12-26,C1,TwoGuests,,104,,
2025-12-25,A2KB,STAFF,2025-12-25,2025-12-26,C1,ExtraGuest,,44,,
2025-12-25,A1KB,BB,2025-12-25,2025-12-26,A1,OneGuest,,1325,,
2025-12-25,A1KB,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1415,,
2025-12-25,A1KB,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,320,,
2025-12-25,A1KB,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
2025-12-25,A1KB,BB,2025-12-25,2025-12-26,C1,TwoGuests,,215,,
2025-12-25,A1KB,BB,2025-12-25,2025-12-26,C1,ExtraGuest,,110,,
2025-12-25,KCST,BB,2025-12-25,2025-12-26,A1,OneGuest,,1220,,
2025-12-25,KCST,BB,2025-12-25,2025-12-26,A1,TwoGuests,,1310,,
2025-12-25,KCST,BB,2025-12-25,2025-12-26,A1,ExtraGuest,,305,,
2025-12-25,KCST,BB,2025-12-25,2025-12-26,C1,OneGuest,,140,,
